"Product","Package ID","Batch","Strain","Vendor","Date of manufacture","Brand","Harvest date","Producer"
zenzona Vegan Gummies Italian Zorbet 100mg RSO - Sativa,56967,230811-001-IZ,Blue Dream X,"Forever 46, LLC - 00000057DCHF00477864",9/25/2023,ZENZONA,6/21/2023,"Forever 46, LLC - 00000057DCHF00477864"
Indica PM Chocolates Dark 100mg,56917,221101-002-IPM,Hybrid Blend,"Forever 46, LLC - 00000057DCHF00477864",2/1/2024,INDICA PM,11/1/2022,"Forever 46, LLC - 00000057DCHF00477864"
Mr. Bill 3.5g,56845,MRB12,Mr. Bill,,,GRÄS Cannabis,11/20/2023,
zenzona Vegan Gummies Wildberry 100mg - Indica,56894,221220-002-ZWLD,Hybrid Blend,"Forever 46, LLC - 00000057DCHF00477864",7/26/2023,ZENZONA,10/3/2022,"Forever 46, LLC - 00000057DCHF00477864"
zenzona Vegan Gummies Italian Zorbet 100mg RSO - Sativa,56893,230811-001-IZ,Blue Dream X,"Forever 46, LLC - 00000057DCHF00477864",9/25/2023,ZENZONA,6/21/2023,"Forever 46, LLC - 00000057DCHF00477864"
Magma Crumble 2.5g - Blue Dream,56881,240202-002,Blue Dream,"Forever 46, LLC - 00000057DCHF00477864",2/2/2024,iLAVA,11/30/2023,"Forever 46, LLC - 00000057DCHF00477864"
Magma Crumble 1g - Blue Dream,56880,240202-002,Blue Dream,"Forever 46, LLC - 00000057DCHF00477864",2/2/2024,iLAVA,11/30/2023,"Forever 46, LLC - 00000057DCHF00477864"
High Scorez Comboz Infused 4pk Prerolls 2.4g - Fatso x Guava Cross,56879,224-231214.01-W50-4pkIPR,Fatso x Guava Cross,"Forever 46, LLC - 00000057DCHF00477864",3/18/2024,High Scorez,12/14/2023,"Forever 46, LLC - 00000057DCHF00477864"
High Scorez Comboz Infused 4pk Prerolls 2.4g - Mellow Squirt x Cherry Treat,56877,MSQ-240117.01-W3-4pkIPR,Mellow Squirt x Cherry Treat,"Forever 46, LLC - 00000057DCHF00477864",3/18/2024,High Scorez,1/17/2024,"Forever 46, LLC - 00000057DCHF00477864"
High Scorez Comboz Infused 4pk Prerolls 2.4g - Cherry Treat x Mendo Dosi,56876,ChryTrt-231130.01-W48-4pkIPR,Cherry Treat x Mendo Dosi,"Forever 46, LLC - 00000057DCHF00477864",3/18/2024,High Scorez,11/30/2023,"Forever 46, LLC - 00000057DCHF00477864"
High Scorez Comboz Infused 4pk Prerolls 2.4g - Strawberry Mo'nana x Blue Dream X,56875,SMo-231116.01-W46-4pkIPR,Strawberry Mo'nana x Blue Dream X,"Forever 46, LLC - 00000057DCHF00477864",3/18/2024,High Scorez,11/16/2023,"Forever 46, LLC - 00000057DCHF00477864"
Guava Cross - Bulk Kief,912294195877,GuCr-240117.0003-W3-Kief,Guava Cross,"Forever 46, LLC - 00000057DCHF00477864",3/18/2024,DTF - Downtown Flower,1/17/2024,"Forever 46, LLC - 00000057DCHF00477864"
Fresh Fritter - Bulk Kief,501454195872,FrFr-240117.0003-W3-Kief,Fresh Fritter,"Forever 46, LLC - 00000057DCHF00477864",3/18/2024,DTF - Downtown Flower,1/17/2024,"Forever 46, LLC - 00000057DCHF00477864"
Mendo Dosi - Bulk Kief,676754065884,323s-240117.0003-W3-Kief,Mendo Dosi,"Forever 46, LLC - 00000057DCHF00477864",3/18/2024,DTF - Downtown Flower,1/17/2024,"Forever 46, LLC - 00000057DCHF00477864"
Gello  - Bulk Kief,037193175873,Gell-240117.0003-W3-Kief,Gello,"Forever 46, LLC - 00000057DCHF00477864",3/18/2024,DTF - Downtown Flower,1/17/2024,"Forever 46, LLC - 00000057DCHF00477864"
Gelato - Bulk Kief,399095985788,GLTO-240117.0003-W3-Kief,Gelato,"Forever 46, LLC - 00000057DCHF00477864",3/18/2024,DTF - Downtown Flower,1/17/2024,"Forever 46, LLC - 00000057DCHF00477864"
Dweebz - Bulk Kief,084525035871,Dwz-240117.0003-W3-Kief,Dweebz,"Forever 46, LLC - 00000057DCHF00477864",3/18/2024,DTF - Downtown Flower,1/17/2024,"Forever 46, LLC - 00000057DCHF00477864"
Cherry Treat - Bulk Kief,394958165870,ChryTrt-240117.0003-W3-Kief,Cherry Treat,"Forever 46, LLC - 00000057DCHF00477864",3/18/2024,DTF - Downtown Flower,1/17/2024,"Forever 46, LLC - 00000057DCHF00477864"
Mellow Squirt - Bulk Kief,972701385876,MSQ-240117.0003-W3-Kief,Mellow Squirt,"Forever 46, LLC - 00000057DCHF00477864",3/18/2024,DTF - Downtown Flower,1/17/2024,"Forever 46, LLC - 00000057DCHF00477864"
Jet Cream - Bulk Kief,121334285874,JtCr-240117.0003-W3-Kief,Jet Cream,"Forever 46, LLC - 00000057DCHF00477864",3/18/2024,DTF - Downtown Flower,1/17/2024,"Forever 46, LLC - 00000057DCHF00477864"
Kosher Kush - Bulk Kief,182931375875,235-240117.0003-W3-Kief,Kosher Kush,"Forever 46, LLC - 00000057DCHF00477864",3/18/2024,DTF - Downtown Flower,1/17/2024,"Forever 46, LLC - 00000057DCHF00477864"
Magma Budder 2.5g - Fresh Fritter,56874,240130-004,Fresh Fritter,"Forever 46, LLC - 00000057DCHF00477864",1/30/2024,iLAVA,11/30/2023,"Forever 46, LLC - 00000057DCHF00477864"
Magma Budder 1g - Fresh Fritter,56873,240130-004,Fresh Fritter,"Forever 46, LLC - 00000057DCHF00477864",1/30/2024,iLAVA,11/30/2023,"Forever 46, LLC - 00000057DCHF00477864"
GOLD Disposable Cartridge 1000mg - Purple Punch,56870,231121-006PP,Purple Punch,"Forever 46, LLC - 00000057DCHF00477864",2/6/2024,iLAVA,7/17/2023,"Forever 46, LLC - 00000057DCHF00477864"
Apple Burger #1 3.5g,56761,231219-001,Apple Burger #1,,,GRÄS Cannabis,11/15/2023,
Maui Berry White 3.5g,56849,MBWV10#1,Maui Berry White,"Forever 46, LLC - 00000057DCHF00477864",3/14/2024,GRÄS Cannabis,11/20/2023,1675194CGGG547930343
Hula Girl 3.5g,56755,240124-009,Hula Girl,,,GRÄS Cannabis,1/23/2024,
Tiki Head 3.5g,56844,TKH15,Tiki Head,"Forever 46, LLC - 00000057DCHF00477864",3/14/2024,GRÄS Cannabis,11/20/2023,1675194CGGG547930343
Pico De Gallo 3.5g,56754,240124-015,Pico De Gallo,,,GRÄS Cannabis,1/23/2024,
zenzona Vegan Gummies Pineberry 100mg RSO - Indica,56843,230607-001RSO-PB,Kosher Kush,"Forever 46, LLC - 00000057DCHF00477864",7/31/2023,ZENZONA,5/2/2023,"Forever 46, LLC - 00000057DCHF00477864"
ClearGold Cartridge 1000mg - Blue Widow,56841,231121-006BW,Blue Widow,"Forever 46, LLC - 00000057DCHF00477864",2/6/2024,iLAVA,7/17/2023,"Forever 46, LLC - 00000057DCHF00477864"
ClearGold Cartridge 500mg - Blue Widow,56840,231121-006BW,Blue Widow,"Forever 46, LLC - 00000057DCHF00477864",2/6/2024,iLAVA,7/17/2023,"Forever 46, LLC - 00000057DCHF00477864"
Fatso 3.5g,56760,240124-007,Fatso,,,GRÄS Cannabis,1/23/2024,
ClearGold Cartridge 1000mg - Northern Lights,56818,231121-006NL,Northern Lights,"Forever 46, LLC - 00000057DCHF00477864",2/6/2024,iLAVA,7/17/2023,"Forever 46, LLC - 00000057DCHF00477864"
ClearGold Cartridge 500mg - Northern Lights,56817,231121-006NL,Northern Lights,"Forever 46, LLC - 00000057DCHF00477864",2/6/2024,iLAVA,7/17/2023,"Forever 46, LLC - 00000057DCHF00477864"
Dough-Z 3.5g,56751,240124-006,Dough-Z,,,GRÄS Cannabis,1/23/2024,
Dosi-Breath 3.5g,56759,240124-005,Dosi-Breath,,,GRÄS Cannabis,1/23/2024,
Magma Sugar Wax 2.5g - Blue Dream X,56805,240117-004,Blue Dream X,"Forever 46, LLC - 00000057DCHF00477864",1/17/2024,iLAVA,10/17/2023,"Forever 46, LLC - 00000057DCHF00477864"
Magma Sugar Wax 1g - Blue Dream X,56804,240117-004,Blue Dream X,"Forever 46, LLC - 00000057DCHF00477864",1/17/2024,iLAVA,10/17/2023,"Forever 46, LLC - 00000057DCHF00477864"
Modified Strawnana 3.5g,56752,240124-013,Modified Strawnana,,,GRÄS Cannabis,1/23/2024,
Marilyn Monroe 3.5g,56753,240124-012,Marilyn Monroe,,,GRÄS Cannabis,1/23/2024,
Magma Sugar Wax 2.5g - Cali Lightning,56768,240130-006,Cali Lightning,"Forever 46, LLC - 00000057DCHF00477864",1/30/2024,iLAVA,11/16/2023,"Forever 46, LLC - 00000057DCHF00477864"
ClearGold Cartridge 1000mg - Blue Dream,56767,231121-006BD,Blue Dream,"Forever 46, LLC - 00000057DCHF00477864",2/6/2024,iLAVA,7/17/2023,"Forever 46, LLC - 00000057DCHF00477864"
ClearGold Cartridge 500mg - Blue Dream,56766,231121-006BD,Blue Dream,"Forever 46, LLC - 00000057DCHF00477864",2/6/2024,iLAVA,7/17/2023,"Forever 46, LLC - 00000057DCHF00477864"
ClearGold Cartridge 1000mg - Pineapple Express,56765,231221-004CGPE,Pineapple Express,"Forever 46, LLC - 00000057DCHF00477864",12/21/2023,iLAVA,12/27/2022,"Forever 46, LLC - 00000057DCHF00477864"
ClearGold Cartridge 500mg - Pineapple Express,56764,231221-004CGPE,Pineapple Express,"Forever 46, LLC - 00000057DCHF00477864",12/21/2023,iLAVA,12/27/2022,"Forever 46, LLC - 00000057DCHF00477864"
Kolache 3.5g,56747,240124-011,Kolache,,,GRÄS Cannabis,1/23/2024,
Bubble Gum Pop 3.5g,56748,240124-004,Bubble Gum Pop,,,GRÄS Cannabis,1/23/2024,
G.I. Jane 3.5g,56749,240124-008,G.I. Jane,,,GRÄS Cannabis,1/23/2024,
Magma Budder 2.5g - Fatso,56744,231019-003,Fatso,"Forever 46, LLC - 00000057DCHF00477864",10/19/2023,iLAVA,8/16/2023,"Forever 46, LLC - 00000057DCHF00477864"
Magma Crumble 2.5g - Gary Satan,56735,231101-002,Gary Satan,"Forever 46, LLC - 00000057DCHF00477864",11/1/2023,iLAVA,9/5/2023,"Forever 46, LLC - 00000057DCHF00477864"
Entourage Night Gummies 100mg - Wildberry,56732,230104-001-WB,Hybrid Blend,"Forever 46, LLC - 00000057DCHF00477864",7/20/2023,iLAVA,10/3/2022,"Forever 46, LLC - 00000057DCHF00477864"
zenzona Vegan Gummies Blood Orange 100mg - Sativa,56723,221220-002-ZBLO,Hybrid Blend,"Forever 46, LLC - 00000057DCHF00477864",7/26/2023,ZENZONA,10/3/2022,"Forever 46, LLC - 00000057DCHF00477864"
Magma Budder 2.5g - Blue Dream,56654,240202-001,Blue Dream,"Forever 46, LLC - 00000057DCHF00477864",2/2/2024,iLAVA,11/30/2023,"Forever 46, LLC - 00000057DCHF00477864"
Atomic Cartridge 500mg - Gary Satan,56651,240228-002,Gary Satan,"Forever 46, LLC - 00000057DCHF00477864",2/28/2024,iLAVA,10/31/2023,"Forever 46, LLC - 00000057DCHF00477864"
Atomic Cartridge 500mg - Cherry Treat,56645,240228-001,Cherry Treat,"Forever 46, LLC - 00000057DCHF00477864",2/28/2024,iLAVA,11/16/2023,"Forever 46, LLC - 00000057DCHF00477864"
Delta 8 Clarity Cartridge 1000mg - Sundae Driver,56641,230503-014CLSD,Sundae Driver,"Forever 46, LLC - 00000057DCHF00477864",1/12/2024,iLAVA,10/21/2022,"Forever 46, LLC - 00000057DCHF00477864"
Magma Budder 1g - Blue Dream,56638,240202-001,Blue Dream,"Forever 46, LLC - 00000057DCHF00477864",2/2/2024,iLAVA,11/30/2023,"Forever 46, LLC - 00000057DCHF00477864"
Magma Sugar Wax 2.5g - Gastropop,56627,231107-005,Gastropop,"Forever 46, LLC - 00000057DCHF00477864",11/7/2023,iLAVA,9/5/2023,"Forever 46, LLC - 00000057DCHF00477864"
Magma Sugar Wax 1g - Gelato,56626,231107-007,Gelato,"Forever 46, LLC - 00000057DCHF00477864",11/7/2023,iLAVA,9/5/2023,"Forever 46, LLC - 00000057DCHF00477864"
Magma Budder 2.5g - Kosher Kush,56625,240130-003,Kosher Kush,"Forever 46, LLC - 00000057DCHF00477864",1/30/2024,iLAVA,11/30/2023,"Forever 46, LLC - 00000057DCHF00477864"
Magma Sugar Wax 2.5g - Gelato,56624,231107-007,Gelato,"Forever 46, LLC - 00000057DCHF00477864",11/7/2023,iLAVA,9/5/2023,"Forever 46, LLC - 00000057DCHF00477864"
Magma Budder 1g - Fatso,56622,231019-003,Fatso,"Forever 46, LLC - 00000057DCHF00477864",10/19/2023,iLAVA,8/16/2023,"Forever 46, LLC - 00000057DCHF00477864"
Magma Sugar Wax 1g - Gastropop,56621,231107-005,Gastropop,"Forever 46, LLC - 00000057DCHF00477864",11/7/2023,iLAVA,9/5/2023,"Forever 46, LLC - 00000057DCHF00477864"
zenzona Vegan Gummies Grapefruit 100mg - Sativa,56620,221220-002-GRA,Hybrid Blend,"Forever 46, LLC - 00000057DCHF00477864",7/26/2023,ZENZONA,10/3/2022,"Forever 46, LLC - 00000057DCHF00477864"
Delta 8 Clarity Cartridge 1000mg - Alien OG,56604,230511-001CLAO,Alien OG,"Forever 46, LLC - 00000057DCHF00477864",1/12/2024,iLAVA,10/23/2022,"Forever 46, LLC - 00000057DCHF00477864"
Gello - Bulk Kief Lab Sample,999932985815,Gell-240117.0003-W3-Kief,Gello,"Forever 46, LLC - 00000057DCHF00477864",,DTF - Downtown Flower,1/17/2024,
ClearGold Cartridge 1000mg - Jack Herer,56575,231221-012CGJH,Jack Herer,"Forever 46, LLC - 00000057DCHF00477864",12/21/2023,iLAVA,12/27/2022,"Forever 46, LLC - 00000057DCHF00477864"
ClearGold Cartridge 500mg - Jack Herer,56574,231221-012CGJH,Jack Herer,"Forever 46, LLC - 00000057DCHF00477864",12/21/2023,iLAVA,12/27/2022,"Forever 46, LLC - 00000057DCHF00477864"
zenzona Vegan Gummies Strawberry 100mg - Hybrid,56531,221220-002-STR,Hybrid Blend,"Forever 46, LLC - 00000057DCHF00477864",7/26/2023,ZENZONA,10/3/2022,"Forever 46, LLC - 00000057DCHF00477864"
GOLD Disposable Cartridge 1000mg - Acapulco Gold,56525,231121-006AG,Acapulco Gold,"Forever 46, LLC - 00000057DCHF00477864",2/6/2024,iLAVA,7/17/2023,"Forever 46, LLC - 00000057DCHF00477864"
ClearGold Cartridge 500mg - Acapulco Gold,56524,231121-006AG,Acapulco Gold,"Forever 46, LLC - 00000057DCHF00477864",2/6/2024,iLAVA,7/17/2023,"Forever 46, LLC - 00000057DCHF00477864"
ClearGold Cartridge 500mg - Afghani,56523,230314-008CGAF,Afghani,"Forever 46, LLC - 00000057DCHF00477864",11/20/2023,iLAVA,10/21/2022,"Forever 46, LLC - 00000057DCHF00477864"
zenzona Vegan Gummies 2:1 (100mg THC/50mg CBD) Blueberry - Indica,56466,221220-002-BB,Hybrid Blend,"Forever 46, LLC - 00000057DCHF00477864",7/26/2023,ZENZONA,10/3/2022,"Forever 46, LLC - 00000057DCHF00477864"
GG#4 3.5g,49762,SKL GG4 05.19.23 GH6 Bay 1,GG#4,"Forever 46, LLC - 00000057DCHF00477864",9/26/2023,GRÄS Cannabis,5/19/2023,
zenzona Vegan Gummies Pineberry 100mg RSO - Indica,56460,230607-001RSO-PB,Kosher Kush,"Forever 46, LLC - 00000057DCHF00477864",7/31/2023,ZENZONA,5/2/2023,"Forever 46, LLC - 00000057DCHF00477864"
zenzona Vegan Gummies 2:1 (200mg CBD/100mg THC) Honeydew - Sativa,56459,221220-002-HD,Hybrid Blend,"Forever 46, LLC - 00000057DCHF00477864",7/26/2023,ZENZONA,10/3/2022,"Forever 46, LLC - 00000057DCHF00477864"
Gelato - Bulk Kief,399095985789,GLTO-240117.0001-W3,Gelato,"Forever 46, LLC - 00000057DCHF00477864",,DTF - Downtown Flower,1/17/2024,
GOLD Disposable Cartridge 1000mg - Green Dream,56456,231121-006GD2,Green Dream,"Forever 46, LLC - 00000057DCHF00477864",2/6/2024,iLAVA,7/17/2023,"Forever 46, LLC - 00000057DCHF00477864"
GOLD Disposable Cartridge 1000mg - Bubba Kush,56440,231121-006BK,Bubba Kush,"Forever 46, LLC - 00000057DCHF00477864",2/6/2024,iLAVA,7/17/2023,"Forever 46, LLC - 00000057DCHF00477864"
ClearGold Cartridge 1000mg - Bubba Kush,56433,231121-006BK,Bubba Kush,"Forever 46, LLC - 00000057DCHF00477864",2/6/2024,iLAVA,7/17/2023,"Forever 46, LLC - 00000057DCHF00477864"
ClearGold Cartridge 500mg - Bubba Kush,56432,231121-006BK,Bubba Kush,"Forever 46, LLC - 00000057DCHF00477864",2/6/2024,iLAVA,7/17/2023,"Forever 46, LLC - 00000057DCHF00477864"
ClearGold Cartridge 1000mg - Strawberry Cough,56408,231121-006SC,Strawberry Cough,"Forever 46, LLC - 00000057DCHF00477864",2/6/2024,iLAVA,7/17/2023,"Forever 46, LLC - 00000057DCHF00477864"
ClearGold Cartridge 500mg - Strawberry Cough,56407,231121-006SC,Strawberry Cough,"Forever 46, LLC - 00000057DCHF00477864",2/6/2024,iLAVA,7/17/2023,"Forever 46, LLC - 00000057DCHF00477864"
Molecular Live Resin Disposable 1000mg - Cali Lightning,56365,240102-006LR,Cali Lightning,"Forever 46, LLC - 00000057DCHF00477864",1/2/2024,iLAVA,12/1/2023,"Forever 46, LLC - 00000057DCHF00477864"
Molecular Live Resin Disposable 1000mg - Gastropop,56361,240207-004LR,Gastropop,"Forever 46, LLC - 00000057DCHF00477864",2/7/2024,iLAVA,1/30/2024,"Forever 46, LLC - 00000057DCHF00477864"
Molecular Live Resin Disposable 1000mg - Forest Fire,56346,240102-005LR,Forest Fire,"Forever 46, LLC - 00000057DCHF00477864",1/2/2024,iLAVA,11/30/2023,"Forever 46, LLC - 00000057DCHF00477864"
zenzona Vegan Gummies Watermelon 100mg - Indica,56344,221220-002-ZWA,Hybrid Blend,"Forever 46, LLC - 00000057DCHF00477864",7/26/2023,ZENZONA,10/3/2022,"Forever 46, LLC - 00000057DCHF00477864"
Molecular Live Resin Disposable 1000mg - Wedding Cake,56326,240207-003LR,Wedding Cake,"Forever 46, LLC - 00000057DCHF00477864",2/7/2024,iLAVA,1/30/2024,"Forever 46, LLC - 00000057DCHF00477864"
GOLD Disposable Cartridge 1000mg - Hawaiian Haze,56318,231121-0062HH,Hawaiian Haze,"Forever 46, LLC - 00000057DCHF00477864",2/6/2024,iLAVA,7/17/2023,"Forever 46, LLC - 00000057DCHF00477864"
ClearGold Cartridge 1000mg - Purple Punch,56297,231121-006PP,Purple Punch,"Forever 46, LLC - 00000057DCHF00477864",2/6/2024,iLAVA,7/17/2023,"Forever 46, LLC - 00000057DCHF00477864"
ClearGold Cartridge 1000mg - Blue Dream,56291,231121-006BD,Blue Dream,"Forever 46, LLC - 00000057DCHF00477864",2/6/2024,iLAVA,7/17/2023,"Forever 46, LLC - 00000057DCHF00477864"
ClearGold Cartridge 500mg - Blue Dream,56290,231121-006BD,Blue Dream,"Forever 46, LLC - 00000057DCHF00477864",2/6/2024,iLAVA,7/17/2023,"Forever 46, LLC - 00000057DCHF00477864"
ClearGold Cartridge 1000mg - Blue Widow,56289,231121-006BW,Blue Widow,"Forever 46, LLC - 00000057DCHF00477864",2/6/2024,iLAVA,7/17/2023,"Forever 46, LLC - 00000057DCHF00477864"
ClearGold Cartridge 500mg - Blue Widow,56288,231121-006BW,Blue Widow,"Forever 46, LLC - 00000057DCHF00477864",2/6/2024,iLAVA,7/17/2023,"Forever 46, LLC - 00000057DCHF00477864"
Entourage Twilight Gummies 100mg - Blueberry,56279,230104-001-TB,Hybrid Blend,"Forever 46, LLC - 00000057DCHF00477864",7/20/2023,iLAVA,10/3/2022,"Forever 46, LLC - 00000057DCHF00477864"
Entourage Day Gummies 100mg - Sour Citrus,56249,230104-001-ESC,Hybrid Blend,"Forever 46, LLC - 00000057DCHF00477864",7/20/2023,iLAVA,10/3/2022,"Forever 46, LLC - 00000057DCHF00477864"
zenzona Vegan Gummies Raspberry 100mg - Sativa,56228,221220-002-RAS,Hybrid Blend,"Forever 46, LLC - 00000057DCHF00477864",7/26/2023,ZENZONA,10/3/2022,"Forever 46, LLC - 00000057DCHF00477864"
Molecular Live Resin Disposable 1000mg - Gelato,56202,231130-001LR,Gelato,"Forever 46, LLC - 00000057DCHF00477864",11/30/2023,iLAVA,11/10/2023,"Forever 46, LLC - 00000057DCHF00477864"
Molecular Live Resin Disposable 1000mg - Forest Fire,56201,240102-005LR,Forest Fire,"Forever 46, LLC - 00000057DCHF00477864",1/2/2024,iLAVA,11/30/2023,"Forever 46, LLC - 00000057DCHF00477864"
Molecular Live Resin Disposable 1000mg - Fatso,56200,231121-005LR,Fatso,"Forever 46, LLC - 00000057DCHF00477864",11/21/2023,iLAVA,11/7/2023,"Forever 46, LLC - 00000057DCHF00477864"
Molecular Live Resin Disposable 1000mg - Cali Lightning,56199,240102-006LR,Cali Lightning,"Forever 46, LLC - 00000057DCHF00477864",1/2/2024,iLAVA,12/1/2023,"Forever 46, LLC - 00000057DCHF00477864"
Molecular Live Resin Disposable 1000mg - Gastropop,56190,240207-004LR,Gastropop,"Forever 46, LLC - 00000057DCHF00477864",2/7/2024,iLAVA,1/30/2024,"Forever 46, LLC - 00000057DCHF00477864"
Molecular Live Resin Disposable 1000mg - Wedding Cake,56188,240207-003LR,Wedding Cake,"Forever 46, LLC - 00000057DCHF00477864",2/7/2024,iLAVA,1/30/2024,"Forever 46, LLC - 00000057DCHF00477864"
Molecular Live Resin Disposable 1000mg - Gello,56170,230914-005,Gello,"Forever 46, LLC - 00000057DCHF00477864",9/14/2023,iLAVA,7/1/2023,"Forever 46, LLC - 00000057DCHF00477864"
Indica PM Chocolates Dark 100mg,56155,221101-002-IPM,Hybrid Blend,"Forever 46, LLC - 00000057DCHF00477864",2/1/2024,INDICA PM,11/1/2022,
GOLD Disposable Cartridge 1000mg - Maui Wowie,56153,231121-006MW,Maui Wowie,"Forever 46, LLC - 00000057DCHF00477864",2/26/2024,iLAVA,7/17/2023,
GOLD Disposable Cartridge 1000mg - Purple Punch,56143,231121-006PP,Purple Punch,"Forever 46, LLC - 00000057DCHF00477864",2/6/2024,iLAVA,7/17/2023,
zenzona Vegan Gummies Pineberry 100mg RSO - Indica,56140,230607-001RSO-PB,Kosher Kush,"Forever 46, LLC - 00000057DCHF00477864",7/31/2023,ZENZONA,5/2/2023,"Forever 46, LLC - 00000057DCHF00477864"
GOLD Disposable Cartridge 1000mg - Acapulco Gold,56135,231121-006AG,Acapulco Gold,"Forever 46, LLC - 00000057DCHF00477864",2/6/2024,iLAVA,7/17/2023,
ClearGold Cartridge 1000mg - Green Crack,56090,231121-006GC,Green Crack,"Forever 46, LLC - 00000057DCHF00477864",2/6/2024,iLAVA,7/17/2023,
ClearGold Cartridge 500mg - Green Crack,56089,231121-006GC,Green Crack,"Forever 46, LLC - 00000057DCHF00477864",2/6/2024,iLAVA,7/17/2023,
ClearGold Cartridge 1000mg - Wedding Cake,56050,230314-008CGWC,Wedding Cake,"Forever 46, LLC - 00000057DCHF00477864",11/20/2023,iLAVA,10/21/2022,
ClearGold Cartridge 500mg - Wedding Cake,56048,230314-008CGWC,Wedding Cake,"Forever 46, LLC - 00000057DCHF00477864",11/20/2023,iLAVA,10/21/2022,
ClearGold Cartridge 1000mg - White Widow,55994,230314-008CGWW,White Widow,"Forever 46, LLC - 00000057DCHF00477864",11/20/2023,iLAVA,10/21/2022,
ClearGold Cartridge 500mg - White Widow,55993,230314-008CGWW,White Widow,"Forever 46, LLC - 00000057DCHF00477864",11/20/2023,iLAVA,10/21/2022,
ClearGold Cartridge 1000mg - ATF,55990,231221-002CGAT,ATF,"Forever 46, LLC - 00000057DCHF00477864",12/21/2023,iLAVA,12/27/2022,
ClearGold Cartridge 500mg - ATF,55989,231221-002CGAT,ATF,"Forever 46, LLC - 00000057DCHF00477864",12/21/2023,iLAVA,12/27/2022,
Hi Keto Chocolate Chip Cookies 100mg RSO- Indica,55988,221227-002-HIK,Wedding Cake,"Forever 46, LLC - 00000057DCHF00477864",11/8/2023,HI KETO,12/27/2022,
Hi Keto Chocolate Chip Cookies 100mg RSO- Indica,55966,221227-003-HIK,Blackwater,"Forever 46, LLC - 00000057DCHF00477864",2/19/2024,HI KETO,10/21/2022,"Forever 46, LLC - 00000057DCHF00477864"
zenzona Vegan Gummies Strawberry 100mg - Hybrid,55858,221220-002-STR,Hybrid Blend,,7/26/2023,ZENZONA,10/3/2022,
zenzona Vegan Gummies Brazilian Grape 100mg - Indica,55856,221220-002-BRG,Hybrid Blend,,7/26/2023,ZENZONA,10/3/2022,
zenzona Vegan Gummies 1:1 (100mg CBD/100mg THC) Cherry - Hybrid,55789,221220-002-CH,Hybrid Blend,,7/26/2023,ZENZONA,10/3/2022,
Entourage Night Gummies 100mg - Wildberry,55757,230104-001-WB,Hybrid Blend,,7/20/2023,iLAVA,10/3/2022,
Delta 8 Clarity Cartridge 1000mg - Green Quack,52524,230215-004CLGQ,Green Quack,"Forever 46, LLC - 00000057DCHF00477864",9/13/2023,iLAVA,10/3/2022,
Delta 8 Clarity Cartridge 1000mg - Jack Herer,53666,231121-002CLJH,Jack Herer,"Forever 46, LLC - 00000057DCHF00477864",11/21/2023,iLAVA,10/23/2022,
ClearGold Cartridge 1000mg - Gelato,55737,230314-008CGGL,Gelato,"Forever 46, LLC - 00000057DCHF00477864",11/20/2023,iLAVA,10/21/2022,
ClearGold Cartridge 1000mg - Banana Kush,55735,231221-005CGBK,Banana Kush,"Forever 46, LLC - 00000057DCHF00477864",12/21/2023,iLAVA,12/27/2022,
ClearGold Cartridge 1000mg - Super Sour Diesel,55732,231221-016CGSS,Super Sour Diesel,"Forever 46, LLC - 00000057DCHF00477864",12/21/2023,iLAVA,12/27/2022,
zenzona Vegan Gummies Watermelon 100mg - Indica,55727,221220-002-ZWA,Hybrid Blend,,7/26/2023,ZENZONA,10/3/2022,
ClearGold Cartridge 1000mg - Afghani,55719,230314-008CGAF,Afghani,"Forever 46, LLC - 00000057DCHF00477864",11/20/2023,iLAVA,10/21/2022,
zenzona Vegan Gummies 2:1 (200mg CBD/100mg THC) Honeydew - Sativa,55691,221220-002-HD,Hybrid Blend,,7/26/2023,ZENZONA,10/3/2022,
GOLD Disposable Cartridge 1000mg - Maui Wowie,55643,231121-006MW,Maui Wowie,"Forever 46, LLC - 00000057DCHF00477864",1/30/2024,iLAVA,11/21/2023,
zenzona Vegan Gummies Blackberries and Cream 100mg RSO - Hybrid,55611,230606-001-BBC,Larry Lem OG,,7/4/2023,ZENZONA,4/19/2023,
GOLD Disposable Cartridge 1000mg - Bubba Kush,55578,231121-006CGBK,Bubba Kush,"Forever 46, LLC - 00000057DCHF00477864",1/23/2024,iLAVA,7/17/2023,
GOLD Disposable Cartridge 1000mg - Acapulco Gold,55575,231221-001CGAG,Acapulco Gold,"Forever 46, LLC - 00000057DCHF00477864",12/21/2023,iLAVA,12/27/2022,
GOLD Disposable Cartridge 1000mg - Mai Tai,55566,230314-008CGMT,Mai Tai,"Forever 46, LLC - 00000057DCHF00477864",11/20/2023,iLAVA,10/21/2022,
iLAVA Touch Bamboo 3.75oz. (380mg THC/320mg CBD) - Hybrid,55563,240110-001B,Hybrid Blend,"Forever 46, LLC - 00000057DCHF00477864",1/10/2024,iLAVA,7/25/2023,"Forever 46, LLC - 00000057DCHF00477864"
GOLD Disposable Cartridge 1000mg - Hawaiian Haze,55550,231121-006HH,Hawaiian Haze,"Forever 46, LLC - 00000057DCHF00477864",1/20/2024,iLAVA,7/17/2023,
zenzona Vegan Gummies Italian Zorbet 100mg RSO - Sativa,55548,230811-001-IZ,Blue Dream X,,8/21/2023,ZENZONA,6/21/2023,
